ground,date,winner,host_country,home_team,away_team,neutral
Christchurch,"Mar 22, 1986",New Zealand,New Zealand,New Zealand,Australia,False
Wellington,"Mar 26, 1986",Australia,New Zealand,New Zealand,Australia,False
Auckland,"Mar 29, 1986",Australia,New Zealand,New Zealand,Australia,False
Colombo,"Mar 30, 1986",Pakistan,Sri Lanka,Sri Lanka,Pakistan,False
Moratuwa,"Mar 31, 1986",Pakistan,Sri Lanka,Pakistan,Bangladesh,True
Port of Spain,"Mar 31, 1986",West Indies,West Indies,West Indies,England,False
Kandy,"Apr 2, 1986",Sri Lanka,Sri Lanka,Sri Lanka,Bangladesh,False
Colombo,"Apr 5, 1986",New Zealand,Sri Lanka,Sri Lanka,New Zealand,False
Colombo,"Apr 6, 1986",Sri Lanka,Sri Lanka,Sri Lanka,Pakistan,False
Colombo,"Apr 7, 1986",Pakistan,Sri Lanka,Pakistan,New Zealand,True
Sharjah,"Apr 10, 1986",India,U.A.E.,New Zealand,India,True
Sharjah,"Apr 11, 1986",Pakistan,U.A.E.,Pakistan,Australia,True
Sharjah,"Apr 13, 1986",India,U.A.E.,Sri Lanka,India,True
Sharjah,"Apr 15, 1986",Pakistan,U.A.E.,Pakistan,New Zealand,True
Sharjah,"Apr 18, 1986",Pakistan,U.A.E.,Pakistan,India,True
The Oval,"May 24, 1986",India,England,England,India,False
Manchester,"May 26, 1986",England,England,England,India,False
Leeds,"Jul 16, 1986",New Zealand,England,England,New Zealand,False
Manchester,"Jul 18, 1986",England,England,England,New Zealand,False
Jaipur,"Sep 7, 1986",India,India,India,Australia,False
Srinagar,"Sep 9, 1986",Australia,India,India,Australia,False
Delhi,"Oct 2, 1986",India,India,India,Australia,False
Ahmedabad,"Oct 5, 1986",India,India,India,Australia,False
Rajkot,"Oct 7, 1986",Australia,India,India,Australia,False
Peshawar,"Oct 17, 1986",West Indies,Pakistan,Pakistan,West Indies,False
Gujranwala,"Nov 4, 1986",West Indies,Pakistan,Pakistan,West Indies,False
Sialkot,"Nov 14, 1986",West Indies,Pakistan,Pakistan,West Indies,False
Multan,"Nov 17, 1986",West Indies,Pakistan,Pakistan,West Indies,False
Hyderabad,"Nov 18, 1986",Pakistan,India,West Indies,Pakistan,True
Sharjah,"Nov 27, 1986",India,U.A.E.,Sri Lanka,India,True
Sharjah,"Nov 28, 1986",West Indies,U.A.E.,West Indies,Pakistan,True
Sharjah,"Nov 30, 1986",West Indies,U.A.E.,West Indies,India,True
Sharjah,"Dec 2, 1986",Pakistan,U.A.E.,Sri Lanka,Pakistan,True
Sharjah,"Dec 3, 1986",West Indies,U.A.E.,West Indies,Sri Lanka,True
Sharjah,"Dec 5, 1986",Pakistan,U.A.E.,Pakistan,India,True
Kanpur,"Dec 24, 1986",Sri Lanka,India,India,Sri Lanka,False
Perth,"Dec 30, 1986",Pakistan,Australia,West Indies,Pakistan,True
Perth,"Jan 1, 1987",England,Australia,Australia,England,False
Perth,"Jan 2, 1987",Pakistan,Australia,Australia,Pakistan,False
Perth,"Jan 3, 1987",England,Australia,West Indies,England,True
Perth,"Jan 4, 1987",West Indies,Australia,Australia,West Indies,False
Perth,"Jan 5, 1987",England,Australia,Pakistan,England,True
Perth,"Jan 7, 1987",England,Australia,Pakistan,England,True
Guwahati,"Jan 11, 1987",India,India,India,Sri Lanka,False
Delhi,"Jan 13, 1987",India,India,India,Sri Lanka,False
Vadodara,"Jan 15, 1987",India,India,India,Sri Lanka,False
Brisbane,"Jan 17, 1987",England,Australia,West Indies,England,True
Mumbai,"Jan 17, 1987",India,India,India,Sri Lanka,False
Brisbane,"Jan 18, 1987",Australia,Australia,Australia,England,False
Melbourne,"Jan 20, 1987",West Indies,Australia,Australia,West Indies,False
Sydney,"Jan 22, 1987",England,Australia,Australia,England,False
Adelaide,"Jan 24, 1987",England,Australia,West Indies,England,True
Adelaide,"Jan 25, 1987",West Indies,Australia,Australia,West Indies,False
Adelaide,"Jan 26, 1987",Australia,Australia,Australia,England,False
Indore,"Jan 27, 1987",Pakistan,India,India,Pakistan,False
Sydney,"Jan 28, 1987",Australia,Australia,Australia,West Indies,False
Melbourne,"Jan 30, 1987",West Indies,Australia,West Indies,England,True
Melbourne,"Feb 1, 1987",Australia,Australia,Australia,England,False
Devonport,"Feb 3, 1987",England,Australia,West Indies,England,True
Sydney,"Feb 6, 1987",Australia,Australia,Australia,West Indies,False
Melbourne,"Feb 8, 1987",England,Australia,Australia,England,False
Sydney,"Feb 11, 1987",England,Australia,Australia,England,False
Kolkata,"Feb 18, 1987",Pakistan,India,India,Pakistan,False
Dunedin,"Mar 18, 1987",West Indies,New Zealand,New Zealand,West Indies,False
Auckland,"Mar 21, 1987",West Indies,New Zealand,New Zealand,West Indies,False
Pune,"Mar 22, 1987",Pakistan,India,India,Pakistan,False
Nagpur,"Mar 24, 1987",Pakistan,India,India,Pakistan,False
Jamshedpur,"Mar 26, 1987",Pakistan,India,India,Pakistan,False
Christchurch,"Mar 28, 1987",West Indies,New Zealand,New Zealand,West Indies,False
Sharjah,"Apr 2, 1987",India,U.A.E.,India,England,True
Sharjah,"Apr 3, 1987",Pakistan,U.A.E.,Pakistan,Australia,True
Sharjah,"Apr 5, 1987",India,U.A.E.,India,Australia,True
Sharjah,"Apr 7, 1987",England,U.A.E.,Pakistan,England,True
Sharjah,"Apr 9, 1987",England,U.A.E.,England,Australia,True
Sharjah,"Apr 10, 1987",Pakistan,U.A.E.,Pakistan,India,True
The Oval,"May 21, 1987",England,England,England,Pakistan,False
Nottingham,"May 23, 1987",Pakistan,England,England,Pakistan,False
Birmingham,"May 25, 1987",England,England,England,Pakistan,False
Hyderabad,"Oct 8, 1987",Pakistan,India,Sri Lanka,Pakistan,True
Chennai,"Oct 9, 1987",Australia,India,India,Australia,False
Gujranwala,"Oct 9, 1987",England,Pakistan,West Indies,England,True
Hyderabad,"Oct 10, 1987",New Zealand,India,Zimbabwe,New Zealand,True
Rawalpindi,"Oct 12-13, 1987",Pakistan,Pakistan,Pakistan,England,False
Chennai,"Oct 13, 1987",Australia,India,Zimbabwe,Australia,True
Karachi,"Oct 13, 1987",West Indies,Pakistan,West Indies,Sri Lanka,True
Bengaluru,"Oct 14, 1987",India,India,India,New Zealand,False
Lahore,"Oct 16, 1987",Pakistan,Pakistan,Pakistan,West Indies,False
Mumbai,"Oct 17, 1987",India,India,India,Zimbabwe,False
Peshawar,"Oct 17, 1987",England,Pakistan,Sri Lanka,England,True
Indore,"Oct 18-19, 1987",Australia,India,New Zealand,Australia,True
Karachi,"Oct 20, 1987",Pakistan,Pakistan,Pakistan,England,False
Kanpur,"Oct 21, 1987",West Indies,India,West Indies,Sri Lanka,True
Delhi,"Oct 22, 1987",India,India,India,Australia,False
Kolkata,"Oct 23, 1987",New Zealand,India,Zimbabwe,New Zealand,True
Faisalabad,"Oct 25, 1987",Pakistan,Pakistan,Pakistan,Sri Lanka,False
Jaipur,"Oct 26, 1987",England,India,West Indies,England,True
Ahmedabad,"Oct 26, 1987",India,India,India,Zimbabwe,False
Chandigarh,"Oct 27, 1987",Australia,India,New Zealand,Australia,True
Cuttack,"Oct 30, 1987",Australia,India,Zimbabwe,Australia,True
Pune,"Oct 30, 1987",England,India,Sri Lanka,England,True
Karachi,"Oct 30, 1987",West Indies,Pakistan,Pakistan,West Indies,False
Nagpur,"Oct 31, 1987",India,India,India,New Zealand,False
Lahore,"Nov 4, 1987",Australia,Pakistan,Pakistan,Australia,False
Mumbai,"Nov 5, 1987",England,India,India,England,False
Kolkata,"Nov 8, 1987",Australia,India,England,Australia,True
Lahore,"Nov 18, 1987",England,Pakistan,Pakistan,England,False
Karachi,"Nov 20, 1987",England,Pakistan,Pakistan,England,False
Peshawar,"Nov 22, 1987",England,Pakistan,Pakistan,England,False
Nagpur,"Dec 8, 1987",West Indies,India,India,West Indies,False
Guwahati,"Dec 23, 1987",West Indies,India,India,West Indies,False
Perth,"Jan 2, 1988",Australia,Australia,Australia,Sri Lanka,False
Kolkata,"Jan 2, 1988",India,India,India,West Indies,False
Perth,"Jan 3, 1988",New Zealand,Australia,Australia,New Zealand,False
Sydney,"Jan 5, 1988",New Zealand,Australia,Sri Lanka,New Zealand,True
Rajkot,"Jan 5, 1988",West Indies,India,India,West Indies,False
Melbourne,"Jan 7, 1988",Australia,Australia,Australia,New Zealand,False
Ahmedabad,"Jan 7, 1988",West Indies,India,India,West Indies,False
Adelaide,"Jan 9, 1988",New Zealand,Australia,Sri Lanka,New Zealand,True
Adelaide,"Jan 10, 1988",Australia,Australia,Australia,Sri Lanka,False
Hobart,"Jan 12, 1988",Sri Lanka,Australia,Sri Lanka,New Zealand,True
Melbourne,"Jan 14, 1988",Australia,Australia,Australia,Sri Lanka,False
Brisbane,"Jan 16, 1988",New Zealand,Australia,Sri Lanka,New Zealand,True
Brisbane,"Jan 17, 1988",Australia,Australia,Australia,New Zealand,False
Sydney,"Jan 19, 1988",Australia,Australia,Australia,Sri Lanka,False
Faridabad,"Jan 19, 1988",West Indies,India,India,West Indies,False
Sydney,"Jan 20, 1988",Australia,Australia,Australia,New Zealand,False
Melbourne,"Jan 22, 1988",Australia,Australia,Australia,New Zealand,False
Gwalior,"Jan 22, 1988",West Indies,India,India,West Indies,False
Sydney,"Jan 24, 1988",Australia,Australia,Australia,New Zealand,False
Thiruvananthapuram,"Jan 25, 1988",West Indies,India,India,West Indies,False
Melbourne,"Feb 4, 1988",Australia,Australia,Australia,England,False
Dunedin,"Mar 9, 1988",England,New Zealand,New Zealand,England,False
Christchurch,"Mar 12, 1988",England,New Zealand,New Zealand,England,False
Kingston,"Mar 12, 1988",West Indies,West Indies,West Indies,Pakistan,False
St John's,"Mar 15, 1988",West Indies,West Indies,West Indies,Pakistan,False
Napier,"Mar 16, 1988",New Zealand,New Zealand,New Zealand,England,False
Port of Spain,"Mar 18, 1988",West Indies,West Indies,West Indies,Pakistan,False
Auckland,"Mar 19, 1988",New Zealand,New Zealand,New Zealand,England,False
Port of Spain,"Mar 20, 1988",West Indies,West Indies,West Indies,Pakistan,False
Sharjah,"Mar 25, 1988",India,U.A.E.,Sri Lanka,India,True
Sharjah,"Mar 27, 1988",India,U.A.E.,New Zealand,India,True
Sharjah,"Mar 29, 1988",New Zealand,U.A.E.,Sri Lanka,New Zealand,True
Georgetown,"Mar 30, 1988",West Indies,West Indies,West Indies,Pakistan,False
Sharjah,"Mar 31, 1988",New Zealand,U.A.E.,Sri Lanka,New Zealand,True
Sharjah,"Apr 1, 1988",India,U.A.E.,New Zealand,India,True
Birmingham,"May 19, 1988",England,England,England,West Indies,False
Leeds,"May 21, 1988",England,England,England,West Indies,False
Lord's,"May 23-24, 1988",England,England,England,West Indies,False
The Oval,"Sep 4, 1988",England,England,England,Sri Lanka,False
Sharjah,"Oct 16, 1988",India,U.A.E.,West Indies,India,True
Sharjah,"Oct 18, 1988",Pakistan,U.A.E.,West Indies,Pakistan,True
Sharjah,"Oct 19, 1988",Pakistan,U.A.E.,Pakistan,India,True
Sharjah,"Oct 21, 1988",West Indies,U.A.E.,West Indies,India,True
Sharjah,"Oct 22, 1988",West Indies,U.A.E.,West Indies,Pakistan,True
Dhaka,"Oct 27, 1988",Sri Lanka,Bangladesh,Sri Lanka,Pakistan,True
Chittagong,"Oct 27, 1988",India,Bangladesh,Bangladesh,India,False
Dhaka,"Oct 29, 1988",Sri Lanka,Bangladesh,Sri Lanka,India,True
Chittagong,"Oct 29, 1988",Pakistan,Bangladesh,Bangladesh,Pakistan,False
Dhaka,"Oct 31, 1988",India,Bangladesh,Pakistan,India,True
Dhaka,"Nov 2, 1988",Sri Lanka,Bangladesh,Bangladesh,Sri Lanka,False
Dhaka,"Nov 4, 1988",India,Bangladesh,Sri Lanka,India,True
Adelaide,"Dec 10, 1988",West Indies,Australia,West Indies,Pakistan,True
Visakhapatnam,"Dec 10, 1988",India,India,India,New Zealand,False
Adelaide,"Dec 11, 1988",Australia,Australia,Australia,Pakistan,False
Cuttack,"Dec 12, 1988",India,India,India,New Zealand,False
Sydney,"Dec 13, 1988",West Indies,Australia,Australia,West Indies,False
Melbourne,"Dec 15, 1988",West Indies,Australia,Australia,West Indies,False
Indore,"Dec 15, 1988",India,India,India,New Zealand,False
Hobart,"Dec 17, 1988",West Indies,Australia,West Indies,Pakistan,True
Vadodara,"Dec 17, 1988",India,India,India,New Zealand,False
Perth,"Jan 1, 1989",West Indies,Australia,West Indies,Pakistan,True
Perth,"Jan 2, 1989",Pakistan,Australia,Australia,Pakistan,False
Melbourne,"Jan 5, 1989",Australia,Australia,Australia,West Indies,False
Brisbane,"Jan 7, 1989",Pakistan,Australia,West Indies,Pakistan,True
Brisbane,"Jan 8, 1989",Australia,Australia,Australia,Pakistan,False
Melbourne,"Jan 10, 1989",Australia,Australia,Australia,Pakistan,False
Sydney,"Jan 12, 1989",Australia,Australia,Australia,West Indies,False
Melbourne,"Jan 14, 1989",Australia,Australia,Australia,West Indies,False
Sydney,"Jan 16, 1989",West Indies,Australia,Australia,West Indies,False
Sydney,"Jan 18, 1989",West Indies,Australia,Australia,West Indies,False
Dunedin,"Feb 6, 1989",New Zealand,New Zealand,New Zealand,Pakistan,False
Christchurch,"Mar 4, 1989",New Zealand,New Zealand,New Zealand,Pakistan,False
Bridgetown,"Mar 7, 1989",West Indies,West Indies,West Indies,India,False
Wellington,"Mar 8, 1989",New Zealand,New Zealand,New Zealand,Pakistan,False
Port of Spain,"Mar 9, 1989",West Indies,West Indies,West Indies,India,False
Auckland,"Mar 11, 1989",Pakistan,New Zealand,New Zealand,Pakistan,False
Port of Spain,"Mar 11, 1989",West Indies,West Indies,West Indies,India,False
Hamilton,"Mar 14, 1989",New Zealand,New Zealand,New Zealand,Pakistan,False
St John's,"Mar 18, 1989",West Indies,West Indies,West Indies,India,False
Georgetown,"Mar 21, 1989",West Indies,West Indies,West Indies,India,False
Sharjah,"Mar 23, 1989",Pakistan,U.A.E.,Sri Lanka,Pakistan,True
Sharjah,"Mar 24, 1989",Pakistan,U.A.E.,Sri Lanka,Pakistan,True
Manchester,"May 25, 1989",England,England,England,Australia,False
Lord's,"May 29, 1989",Australia,England,England,Australia,False
Sharjah,"Oct 13, 1989",West Indies,U.A.E.,West Indies,India,True
Sharjah,"Oct 14, 1989",Pakistan,U.A.E.,West Indies,Pakistan,True
Delhi,"Oct 15, 1989",England,India,Sri Lanka,England,True
Sharjah,"Oct 15, 1989",Pakistan,U.A.E.,Pakistan,India,True
Sharjah,"Oct 16, 1989",India,U.A.E.,West Indies,India,True
Sharjah,"Oct 17, 1989",Pakistan,U.A.E.,West Indies,Pakistan,True
Hyderabad,"Oct 19, 1989",England,India,England,Australia,True
Rajkot,"Oct 19, 1989",Sri Lanka,India,West Indies,Sri Lanka,True
Sharjah,"Oct 20, 1989",Pakistan,U.A.E.,Pakistan,India,True
Chennai,"Oct 21, 1989",Australia,India,West Indies,Australia,True
Cuttack,"Oct 22, 1989",England,India,Pakistan,England,True
Ahmedabad,"Oct 22, 1989",India,India,India,Sri Lanka,False
Mumbai,"Oct 23, 1989",Pakistan,India,Pakistan,Australia,True
Delhi,"Oct 23, 1989",West Indies,India,India,West Indies,False
Kanpur,"Oct 25, 1989",India,India,India,England,False
Jalandhar,"Oct 25, 1989",West Indies,India,West Indies,Pakistan,True
Margao,"Oct 25, 1989",Australia,India,Sri Lanka,Australia,True
Gwalior,"Oct 27, 1989",West Indies,India,West Indies,England,True
Bengaluru,"Oct 27, 1989",India,India,India,Australia,False
Lucknow,"Oct 27, 1989",Pakistan,India,Sri Lanka,Pakistan,True
Kolkata,"Oct 28, 1989",Pakistan,India,India,Pakistan,False
Nagpur,"Oct 30, 1989",Pakistan,India,Pakistan,England,True
Mumbai,"Oct 30, 1989",West Indies,India,India,West Indies,False
Kolkata,"Nov 1, 1989",Pakistan,India,West Indies,Pakistan,True
Gujranwala,"Dec 18, 1989",Pakistan,Pakistan,Pakistan,India,False
Lahore,"Dec 22, 1989",Pakistan,Pakistan,Pakistan,India,False
Melbourne,"Dec 26, 1989",Australia,Australia,Australia,Sri Lanka,False
Perth,"Dec 30, 1989",Australia,Australia,Australia,Sri Lanka,False
Perth,"Dec 31, 1989",Sri Lanka,Australia,Sri Lanka,Pakistan,True
Melbourne,"Jan 3, 1990",Australia,Australia,Australia,Pakistan,False
Melbourne,"Jan 4, 1990",Australia,Australia,Australia,Sri Lanka,False
Brisbane,"Feb 10, 1990",Pakistan,Australia,Sri Lanka,Pakistan,True
Brisbane,"Feb 11, 1990",Australia,Australia,Australia,Pakistan,False
Sydney,"Feb 13, 1990",Pakistan,Australia,Australia,Pakistan,False
Hobart,"Feb 15, 1990",Pakistan,Australia,Sri Lanka,Pakistan,True
Adelaide,"Feb 17, 1990",Pakistan,Australia,Sri Lanka,Pakistan,True
Adelaide,"Feb 18, 1990",Australia,Australia,Australia,Sri Lanka,False
Sydney,"Feb 20, 1990",Pakistan,Australia,Australia,Pakistan,False
Melbourne,"Feb 23, 1990",Australia,Australia,Australia,Pakistan,False
Sydney,"Feb 25, 1990",Australia,Australia,Australia,Pakistan,False
Dunedin,"Mar 1, 1990",New Zealand,New Zealand,New Zealand,India,False
Christchurch,"Mar 3, 1990",Australia,New Zealand,India,Australia,True
Kingston,"Mar 3, 1990",West Indies,West Indies,West Indies,England,False
Christchurch,"Mar 4, 1990",Australia,New Zealand,New Zealand,Australia,False
Wellington,"Mar 6, 1990",India,New Zealand,New Zealand,India,False
Georgetown,"Mar 7, 1990",West Indies,West Indies,West Indies,England,False
Hamilton,"Mar 8, 1990",Australia,New Zealand,India,Australia,True
Auckland,"Mar 10, 1990",Australia,New Zealand,New Zealand,Australia,False
Auckland,"Mar 11, 1990",Australia,New Zealand,New Zealand,Australia,False
Georgetown,"Mar 15, 1990",West Indies,West Indies,West Indies,England,False
Bridgetown,"Apr 3, 1990",West Indies,West Indies,West Indies,England,False
Sharjah,"Apr 25, 1990",Sri Lanka,U.A.E.,Sri Lanka,India,True
Sharjah,"Apr 26, 1990",Australia,U.A.E.,New Zealand,Australia,True
Sharjah,"Apr 27, 1990",Pakistan,U.A.E.,Pakistan,India,True
Sharjah,"Apr 28, 1990",New Zealand,U.A.E.,New Zealand,Bangladesh,True
Sharjah,"Apr 29, 1990",Pakistan,U.A.E.,Sri Lanka,Pakistan,True
Sharjah,"Apr 30, 1990",Australia,U.A.E.,Bangladesh,Australia,True
Sharjah,"May 1, 1990",Pakistan,U.A.E.,Pakistan,New Zealand,True
Sharjah,"May 2, 1990",Australia,U.A.E.,Sri Lanka,Australia,True
Sharjah,"May 4, 1990",Pakistan,U.A.E.,Pakistan,Australia,True
Leeds,"May 23, 1990",New Zealand,England,England,New Zealand,False
The Oval,"May 25, 1990",England,England,England,New Zealand,False
Leeds,"Jul 18, 1990",India,England,England,India,False
Nottingham,"Jul 20, 1990",India,England,England,India,False
Lahore,"Nov 2, 1990",Pakistan,Pakistan,Pakistan,New Zealand,False
Peshawar,"Nov 4, 1990",Pakistan,Pakistan,Pakistan,New Zealand,False
Sialkot,"Nov 6, 1990",Pakistan,Pakistan,Pakistan,New Zealand,False
Karachi,"Nov 9, 1990",Pakistan,Pakistan,Pakistan,West Indies,False
Lahore,"Nov 11, 1990",Pakistan,Pakistan,Pakistan,West Indies,False
Multan,"Nov 13, 1990",Pakistan,Pakistan,Pakistan,West Indies,False
Sydney,"Nov 29, 1990",Australia,Australia,Australia,New Zealand,False
Adelaide,"Dec 1, 1990",New Zealand,Australia,New Zealand,England,True
Nagpur,"Dec 1, 1990",India,India,India,Sri Lanka,False
Adelaide,"Dec 2, 1990",Australia,Australia,Australia,New Zealand,False
Pune,"Dec 5, 1990",India,India,India,Sri Lanka,False
Perth,"Dec 7, 1990",England,Australia,New Zealand,England,True
Margao,"Dec 8, 1990",Sri Lanka,India,India,Sri Lanka,False
Perth,"Dec 9, 1990",Australia,Australia,Australia,England,False
Melbourne,"Dec 11, 1990",Australia,Australia,Australia,New Zealand,False
Sydney,"Dec 13, 1990",England,Australia,New Zealand,England,True
Brisbane,"Dec 15, 1990",New Zealand,Australia,New Zealand,England,True
Brisbane,"Dec 16, 1990",Australia,Australia,Australia,England,False
Hobart,"Dec 18, 1990",New Zealand,Australia,Australia,New Zealand,False
Sharjah,"Dec 20, 1990",Sri Lanka,U.A.E.,Sri Lanka,Pakistan,True
Sharjah,"Dec 21, 1990",Pakistan,U.A.E.,Sri Lanka,Pakistan,True
Chandigarh,"Dec 25, 1990",India,India,India,Bangladesh,False
Cuttack,"Dec 28, 1990",Sri Lanka,India,India,Sri Lanka,False
Kolkata,"Dec 31, 1990",Sri Lanka,India,Sri Lanka,Bangladesh,True
Sydney,"Jan 1, 1991",Australia,Australia,Australia,England,False
Kolkata,"Jan 4, 1991",India,India,India,Sri Lanka,False
Melbourne,"Jan 10, 1991",Australia,Australia,Australia,England,False
Sydney,"Jan 13, 1991",Australia,Australia,Australia,New Zealand,False
Melbourne,"Jan 15, 1991",Australia,Australia,Australia,New Zealand,False
Napier,"Jan 26, 1991",New Zealand,New Zealand,New Zealand,Sri Lanka,False
Auckland,"Jan 28, 1991",New Zealand,New Zealand,New Zealand,Sri Lanka,False
Dunedin,"Feb 6, 1991",New Zealand,New Zealand,New Zealand,Sri Lanka,False
Christchurch,"Feb 9, 1991",England,New Zealand,New Zealand,England,False
Wellington,"Feb 13, 1991",New Zealand,New Zealand,New Zealand,England,False
Auckland,"Feb 16, 1991",New Zealand,New Zealand,New Zealand,England,False
Kingston,"Feb 26, 1991",Australia,West Indies,West Indies,Australia,False
Port of Spain,"Mar 9, 1991",Australia,West Indies,West Indies,Australia,False
Port of Spain,"Mar 10, 1991",West Indies,West Indies,West Indies,Australia,False
Bridgetown,"Mar 13, 1991",Australia,West Indies,West Indies,Australia,False
Georgetown,"Mar 20, 1991",Australia,West Indies,West Indies,Australia,False
Birmingham,"May 23-24, 1991",England,England,England,West Indies,False
Manchester,"May 25, 1991",England,England,England,West Indies,False
Lord's,"May 27, 1991",England,England,England,West Indies,False
Sharjah,"Oct 17, 1991",West Indies,U.A.E.,West Indies,Pakistan,True
Sharjah,"Oct 18, 1991",India,U.A.E.,Pakistan,India,True
Sharjah,"Oct 19, 1991",India,U.A.E.,West Indies,India,True
Sharjah,"Oct 21, 1991",Pakistan,U.A.E.,West Indies,Pakistan,True
Sharjah,"Oct 22, 1991",India,U.A.E.,West Indies,India,True
Sharjah,"Oct 23, 1991",Pakistan,U.A.E.,Pakistan,India,True
Sharjah,"Oct 25, 1991",Pakistan,U.A.E.,Pakistan,India,True
Kolkata,"Nov 10, 1991",India,India,India,South Africa,False
Gwalior,"Nov 12, 1991",India,India,India,South Africa,False
Karachi,"Nov 20, 1991",West Indies,Pakistan,Pakistan,West Indies,False
Faisalabad,"Nov 24, 1991",West Indies,Pakistan,Pakistan,West Indies,False
Perth,"Dec 8, 1991",India,Australia,Australia,India,False
Hobart,"Dec 10, 1991",Australia,Australia,Australia,India,False
Melbourne,"Dec 12, 1991",Australia,Australia,Australia,West Indies,False
Adelaide,"Dec 14, 1991",India,Australia,West Indies,India,True
Adelaide,"Dec 15, 1991",Australia,Australia,Australia,India,False
Sydney,"Dec 18, 1991",Australia,Australia,Australia,West Indies,False
Sargodha,"Jan 10, 1992",Pakistan,Pakistan,Pakistan,Sri Lanka,False
Auckland,"Jan 11, 1992",England,New Zealand,New Zealand,England,False
Brisbane,"Jan 11, 1992",West Indies,Australia,West Indies,India,True
Brisbane,"Jan 12, 1992",West Indies,Australia,Australia,West Indies,False
Karachi,"Jan 13, 1992",Pakistan,Pakistan,Pakistan,Sri Lanka,False
Sydney,"Jan 14, 1992",Australia,Australia,Australia,India,False
Hyderabad,"Jan 15, 1992",Pakistan,India,Sri Lanka,Pakistan,True
Melbourne,"Jan 16, 1992",India,Australia,West Indies,India,True
Multan,"Jan 17, 1992",Sri Lanka,Pakistan,Pakistan,Sri Lanka,False
Melbourne,"Jan 18, 1992",Australia,Australia,Australia,India,False
Rawalpindi,"Jan 19, 1992",Pakistan,Pakistan,Pakistan,Sri Lanka,False
Sydney,"Jan 20, 1992",Australia,Australia,Australia,India,False
Dunedin,"Feb 12, 1992",England,New Zealand,New Zealand,England,False
Christchurch,"Feb 15, 1992",England,New Zealand,New Zealand,England,False
Auckland,"Feb 22, 1992",New Zealand,New Zealand,New Zealand,Australia,False
Perth,"Feb 22, 1992",England,Australia,India,England,True
New Plymouth,"Feb 23, 1992",Sri Lanka,New Zealand,Zimbabwe,Sri Lanka,True
Melbourne,"Feb 23, 1992",West Indies,Australia,West Indies,Pakistan,True
Hamilton,"Feb 25, 1992",New Zealand,New Zealand,New Zealand,Sri Lanka,False
Sydney,"Feb 26, 1992",South Africa,Australia,Australia,South Africa,False
Hobart,"Feb 27, 1992",Pakistan,Australia,Zimbabwe,Pakistan,True
Melbourne,"Feb 27, 1992",England,Australia,West Indies,England,True
Auckland,"Feb 29, 1992",New Zealand,New Zealand,New Zealand,South Africa,False
Brisbane,"Feb 29, 1992",West Indies,Australia,Zimbabwe,West Indies,True
Brisbane,"Mar 1, 1992",Australia,Australia,Australia,India,False
Wellington,"Mar 2, 1992",Sri Lanka,New Zealand,Sri Lanka,South Africa,True
Napier,"Mar 3, 1992",New Zealand,New Zealand,New Zealand,Zimbabwe,False
Sydney,"Mar 4, 1992",India,Australia,Pakistan,India,True
Christchurch,"Mar 5, 1992",South Africa,New Zealand,West Indies,South Africa,True
Sydney,"Mar 5, 1992",England,Australia,Australia,England,False
Hamilton,"Mar 7, 1992",India,New Zealand,Zimbabwe,India,True
Adelaide,"Mar 7, 1992",Australia,Australia,Australia,Sri Lanka,False
Auckland,"Mar 8, 1992",New Zealand,New Zealand,New Zealand,West Indies,False
Brisbane,"Mar 8, 1992",South Africa,Australia,South Africa,Pakistan,True
Ballarat,"Mar 9, 1992",England,Australia,Sri Lanka,England,True
Wellington,"Mar 10, 1992",West Indies,New Zealand,West Indies,India,True
Canberra,"Mar 10, 1992",South Africa,Australia,Zimbabwe,South Africa,True
Perth,"Mar 11, 1992",Pakistan,Australia,Australia,Pakistan,False
Dunedin,"Mar 12, 1992",New Zealand,New Zealand,New Zealand,India,False
Melbourne,"Mar 12, 1992",England,Australia,South Africa,England,True
Berri,"Mar 13, 1992",West Indies,Australia,West Indies,Sri Lanka,True
Hobart,"Mar 14, 1992",Australia,Australia,Australia,Zimbabwe,False
Wellington,"Mar 15, 1992",New Zealand,New Zealand,New Zealand,England,False
Adelaide,"Mar 15, 1992",South Africa,Australia,South Africa,India,True
Perth,"Mar 15, 1992",Pakistan,Australia,Sri Lanka,Pakistan,True
Christchurch,"Mar 18, 1992",Pakistan,New Zealand,New Zealand,Pakistan,False
Albury,"Mar 18, 1992",Zimbabwe,Australia,Zimbabwe,England,True
Melbourne,"Mar 18, 1992",Australia,Australia,Australia,West Indies,False
Auckland,"Mar 21, 1992",Pakistan,New Zealand,New Zealand,Pakistan,False
Sydney,"Mar 22, 1992",England,Australia,South Africa,England,True
Melbourne,"Mar 25, 1992",Pakistan,Australia,Pakistan,England,True
Kingston,"Apr 7, 1992",West Indies,West Indies,West Indies,South Africa,False
Port of Spain,"Apr 11, 1992",West Indies,West Indies,West Indies,South Africa,False
Port of Spain,"Apr 12, 1992",West Indies,West Indies,West Indies,South Africa,False
Lord's,"May 20, 1992",England,England,England,Pakistan,False
The Oval,"May 22, 1992",England,England,England,Pakistan,False
Colombo,"Aug 15, 1992",Sri Lanka,Sri Lanka,Sri Lanka,Australia,False
Nottingham,"Aug 20, 1992",England,England,England,Pakistan,False
Lord's,"Aug 22, 1992",Pakistan,England,England,Pakistan,False
Manchester,"Aug 24, 1992",England,England,England,Pakistan,False
